,accession,seq_definition,seq_length,GBSeq_organism,GBSeq_taxonomy,GBReference_title,Submission_Date,organism,mol_type,strain,host,country,db_xref,segment,collection_date
10,LC193450,"Orthonairovirus dugbeense gene for RNA-dependent RNA polymerase, partial cds, strain: 15AC-T25",442,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Detection of a novel putative phlebovirus and first isolation of Dugbe virus from ticks in Accra, Ghana",02-MAY-2017,Orthonairovirus dugbeense,viral cRNA,15AC-T25,Amblyomma variegatum,Ghana:Accra,taxon:3052514,L,2015-09-24
11,MW917188,"Dugbe orthonairovirus isolate MC-N3 segment S, complete sequence",1705,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Detection of Dugbe virus from ticks in Ghana,19-SEP-2022,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Ghana,taxon:3052514,S,27-Jul-2017
12,MW917187,"Dugbe orthonairovirus isolate MC-N3 segment M, complete sequence",4746,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Detection of Dugbe virus from ticks in Ghana,19-SEP-2022,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Ghana,taxon:3052514,M,27-Jul-2017
13,MW917186,"Dugbe orthonairovirus isolate MC-N3 segment L, complete sequence",12230,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Detection of Dugbe virus from ticks in Ghana,19-SEP-2022,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Ghana,taxon:3052514,L,27-Jul-2017
14,NC_004159,"Dugbe virus segment L, complete sequence",12255,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Large RNA segment of Dugbe nairovirus encodes the putative RNA polymerase,31-MAR-1995,Orthonairovirus dugbeense,genomic RNA,,,,taxon:3052514,L,
15,NC_004158,"Dugbe virus segment M, complete sequence",4888,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Dugbe Nairovirus M RNA: nucleotide sequence and coding strategy,02-AUG-1993,Orthonairovirus dugbeense,genomic RNA,,,,taxon:3052514,M,
16,NC_004157,"Dugbe virus segment S, complete sequence",1716,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Dugbe nairovirus S segment: correction of published sequence and comparison of five isolates,02-FEB-2002,Orthonairovirus dugbeense,genomic RNA,,,,taxon:3052514,S,
17,EU359035,"Dugbe virus isolate DUGV_NJT130 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Kenya,taxon:3052514,,
18,EU359034,"Dugbe virus isolate DUGV_NJT145 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
19,EU359033,"Dugbe virus isolate DUGV_NJT191 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
20,EU359032,"Dugbe virus isolate DUGV_NJT195 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
21,EU359031,"Dugbe virus isolate DUGV_NJT197 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
22,EU359030,"Dugbe virus isolate DUGV_NJT200 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
23,EU359029,"Dugbe virus isolate DUGV_NJT225 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Rhipicephalus pulchellus,Kenya,taxon:3052514,,
24,EU359028,"Dugbe virus isolate DUGV_NJT238 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
25,EU359027,"Dugbe virus isolate DUGV_NJT239 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
26,EU359026,"Dugbe virus isolate DUGV_NJT247 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Kenya,taxon:3052514,,
27,EU359025,"Dugbe virus isolate DUGV_NJT276 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
28,EU359024,"Dugbe virus isolate DUGV_NJT296 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma lepidum,Kenya,taxon:3052514,,
29,EU359023,"Dugbe virus isolate DUGV_NJT445 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Rhipicephalus pulchellus,Kenya,taxon:3052514,,
30,EU359022,"Dugbe virus isolate DUGV_NJT448 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Kenya,taxon:3052514,,
31,EU359021,"Dugbe virus isolate DUGV_NJT490 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
32,EU359020,"Dugbe virus isolate DUGV_NJT503 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma lepidum,Kenya,taxon:3052514,,
33,EU359019,"Dugbe virus isolate DUGV_NJT539 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
34,EU359018,"Dugbe virus isolate DUGV_NJT545 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
35,EU359017,"Dugbe virus isolate DUGV_NJT577 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Kenya,taxon:3052514,,
36,EU359016,"Dugbe virus isolate DUGV_NJT620 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
37,EU359015,"Dugbe virus isolate DUGV_NJT636 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
38,EU359014,"Dugbe virus isolate DUGV_NJT680 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
39,EU359013,"Dugbe virus isolate DUGV_NJT740 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
40,EU359012,"Dugbe virus isolate DUGV_NJT751 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Kenya,taxon:3052514,,
41,EU359011,"Dugbe virus isolate DUGV_NJT811 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,,
42,EU359010,"Dugbe virus isolate DUGV_DGT707 RNA-dependent RNA polymerase gene, partial cds",603,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",14-JAN-2008,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Kenya,taxon:3052514,,
43,JF785543,"Dugbe virus isolate NJT 197 putative RNA polymerase gene, partial cds",12136,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,Direct Submission,21-SEP-2011,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,L,Oct-1999
44,FJ422213,"Dugbe virus isolate DUGV_NJT130 segment S, complete sequence",1682,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Kenya,taxon:3052514,S,1999
45,FJ422238,"Dugbe virus isolate DUGV_NJT811 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,S,1999
46,FJ422237,"Dugbe virus isolate DUGV_NJT751 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Kenya,taxon:3052514,S,1999
47,FJ422236,"Dugbe virus isolate DUGV_NJT740 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,S,1999
48,FJ422235,"Dugbe virus isolate DUGV_DGT707 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Kenya,taxon:3052514,S,1999
49,FJ422234,"Dugbe virus isolate DUGV_NJT680 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,S,1999
50,FJ422233,"Dugbe virus isolate DUGV_NJT636 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,S,1999
51,FJ422232,"Dugbe virus isolate DUGV_NJT620 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,S,1999
52,FJ422231,"Dugbe virus isolate DUGV_NJT577 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Kenya,taxon:3052514,S,1999
53,FJ422230,"Dugbe virus isolate DUGV_NJT545 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,S,1999
54,FJ422229,"Dugbe virus isolate DUGV_NJT539 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,S,1999
55,FJ422228,"Dugbe virus isolate DUGV_NJT503 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma lepidum,Kenya,taxon:3052514,S,1999
56,FJ422227,"Dugbe virus isolate DUGV_NJT490 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,S,1999
57,FJ422226,"Dugbe virus isolate DUGV_NJT448 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma variegatum,Kenya,taxon:3052514,S,1999
58,FJ422225,"Dugbe virus isolate DUGV_NJT445 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Rhipicephalus pulchellus,Kenya,taxon:3052514,S,1999
59,FJ422224,"Dugbe virus isolate DUGV_NJT296 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma lepidum,Kenya,taxon:3052514,S,1999
60,FJ422223,"Dugbe virus isolate DUGV_NJT276 segment S, complete sequence",428,Orthonairovirus dugbeense,Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus,"Kupe virus, a new virus in the family bunyaviridae, genus nairovirus, kenya",17-JAN-2009,Orthonairovirus dugbeense,viral cRNA,,Amblyomma gemma,Kenya,taxon:3052514,S,1999
