,accession,seq_definition,seq_length,GBSeq_organism,GBSeq_taxonomy,GBReference_title,Submission_Date,organism,mol_type,strain,host,country,db_xref,segment,collection_date
10,U49478,"Human papillomavirus type 5 variant E16 L1 capsid protein gene, partial cds",446,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,31-JUL-1996,Human papillomavirus 5,genomic DNA,E16,,,taxon:333923,,
11,U49477,"Human papillomavirus type 5 variant E5 L1 capsid protein gene, partial cds",446,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,31-JUL-1996,Human papillomavirus 5,genomic DNA,E5,,,taxon:333923,,
12,U49476,"Human papillomavirus type 5 variant E11 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,31-JUL-1996,Human papillomavirus 5,genomic DNA,E11,,,taxon:333923,,
13,U49475,"Human papillomavirus type 5 variant NA1 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,NAm1,,,taxon:333923,,
14,U49474,"Human papillomavirus type 5 variant NAf3 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,NAf3,,,taxon:333923,,
15,U49473,"Human papillomavirus type 5 variant FC2 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,FC2,,,taxon:333923,,
16,U49472,"Human papillomavirus type 5 variant FC1 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,FC1,,,taxon:333923,,
17,U49471,"Human papillomavirus type 5 variant WAf2 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,WAf2,,,taxon:333923,,
18,U49470,"Human papillomavirus type 5 variant NAf5 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,NAf5,,,taxon:333923,,
19,U49469,"Human papillomavirus type 5 variant NAf1 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,NAf1,,,taxon:333923,,
20,U49468,"Human papillomavirus type 5 variant Sam4 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,Sam4,,,taxon:333923,,
21,U49467,"Human papillomavirus type 5 variant E9 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,E9,,,taxon:333923,,
22,U49466,"Human papillomavirus type 5 variant E7 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,E7,,,taxon:333923,,
23,U49465,"Human papillomavirus type 5 variant E1 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,E1,,,taxon:333923,,
24,U49464,"Human papillomavirus type 5 variant E17 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,E17,,,taxon:333923,,
25,U49463,"Human papillomavirus type 5 variant E2 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,E2,,,taxon:333923,,
26,U49462,"Human papillomavirus type 5 variant E3 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,E3,,,taxon:333923,,
27,U49461,"Human papillomavirus type 5 variant E10 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,E10,,,taxon:333923,,
28,U49460,"Human papillomavirus type 5 variant E8 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,E8,,,taxon:333923,,
29,U49459,"Human papillomavirus type 5 variant E15 L1 capsid protein gene, partial cds",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Variability and phylogeny of the L1 capsid protein gene of human papillomavirus type 5: contribution of clusters of nonsynonymous mutations and of a 30-nucleotide duplication,30-JUL-1996,Human papillomavirus 5,genomic DNA,E15,,,taxon:333923,,
30,M22961,Human papillomavirus type 5 DNA and naturally occurring deletions in the late region of the virus,7746,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Molecular cloning and nucleotide sequence analysis of several naturally occurring HPV-5 deletion mutant genomes,02-AUG-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
31,GN353269,Sequence 3033 from Patent WO2007130519,60,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Viral nucleic acid microarray and method of use,12-MAY-2009,Human papillomavirus 5,unassigned DNA,,,,taxon:333923,,
32,GN353268,Sequence 3032 from Patent WO2007130519,60,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Viral nucleic acid microarray and method of use,12-MAY-2009,Human papillomavirus 5,unassigned DNA,,,,taxon:333923,,
33,GN353267,Sequence 3031 from Patent WO2007130519,60,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Viral nucleic acid microarray and method of use,12-MAY-2009,Human papillomavirus 5,unassigned DNA,,,,taxon:333923,,
34,GN353266,Sequence 3030 from Patent WO2007130519,60,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Viral nucleic acid microarray and method of use,12-MAY-2009,Human papillomavirus 5,unassigned DNA,,,,taxon:333923,,
35,GN353265,Sequence 3029 from Patent WO2007130519,60,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Viral nucleic acid microarray and method of use,12-MAY-2009,Human papillomavirus 5,unassigned DNA,,,,taxon:333923,,
36,GN353264,Sequence 3028 from Patent WO2007130519,60,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Viral nucleic acid microarray and method of use,12-MAY-2009,Human papillomavirus 5,unassigned DNA,,,,taxon:333923,,
37,GN353263,Sequence 3027 from Patent WO2007130519,60,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Viral nucleic acid microarray and method of use,12-MAY-2009,Human papillomavirus 5,unassigned DNA,,,,taxon:333923,,
38,GN353262,Sequence 3026 from Patent WO2007130519,60,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Viral nucleic acid microarray and method of use,12-MAY-2009,Human papillomavirus 5,unassigned DNA,,,,taxon:333923,,
39,GN353261,Sequence 3025 from Patent WO2007130519,60,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Viral nucleic acid microarray and method of use,12-MAY-2009,Human papillomavirus 5,unassigned DNA,,,,taxon:333923,,
40,GN353260,Sequence 3024 from Patent WO2007130519,60,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Viral nucleic acid microarray and method of use,12-MAY-2009,Human papillomavirus 5,unassigned DNA,,,,taxon:333923,,
41,AM922325,Human papillomavirus type 5 L1 gene for major capsid protein L1,1551,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Human papilloma virus 5-DNA in a carcinoma of an epidermodysplasia verruciformis patient infected with various human papillomavirus types,12-DEC-2007,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
42,X74643,Human Papillomavirus (5a9) E6 gene,685,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Genetic heterogeneity of oncogenic human papillomavirus type 5 (HPV5) and phylogeny of HPV5 variants associated with epidermodysplasia verruciformis,27-SEP-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
43,X74641,Human Papillomavirus (5a7) E6 gene,685,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Genetic heterogeneity of oncogenic human papillomavirus type 5 (HPV5) and phylogeny of HPV5 variants associated with epidermodysplasia verruciformis,27-SEP-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
44,X74642,Human Papillomavirus (5a8) E6 gene,685,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Genetic heterogeneity of oncogenic human papillomavirus type 5 (HPV5) and phylogeny of HPV5 variants associated with epidermodysplasia verruciformis,27-SEP-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
45,CS434742,Sequence 103 from Patent WO2006104381,83,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Identification of beta-papillomavirus dna by type-specific reverse hybridization,24-OCT-2006,Human papillomavirus 5,unassigned DNA,,,,taxon:333923,,
46,DQ080001,"Human papillomavirus type 5 L2 (L2) and L1 (L1) genes, complete cds",3551,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Human alpha-defensins block papillomavirus infection,28-JUN-2005,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
47,X74653,Human Papillomavirus (5a6) E2 gene (3'),300,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Genetic heterogeneity of oncogenic human papillomavirus type 5 (HPV5) and phylogeny of HPV5 variants associated with epidermodysplasia verruciformis,27-SEP-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
48,X74652,Human Papillomavirus (5a6) E2 gene (5'),300,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Genetic heterogeneity of oncogenic human papillomavirus type 5 (HPV5) and phylogeny of HPV5 variants associated with epidermodysplasia verruciformis,27-SEP-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
49,X74649,Human Papillomavirus (5a4) E2 gene (3'),300,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Genetic heterogeneity of oncogenic human papillomavirus type 5 (HPV5) and phylogeny of HPV5 variants associated with epidermodysplasia verruciformis,27-SEP-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
50,X74648,Human Papillomavirus (5a4) E2 gene (5'),300,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Genetic heterogeneity of oncogenic human papillomavirus type 5 (HPV5) and phylogeny of HPV5 variants associated with epidermodysplasia verruciformis,27-SEP-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
51,X74647,Human Papillomavirus (5a3) E2 gene (3'),300,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Genetic heterogeneity of oncogenic human papillomavirus type 5 (HPV5) and phylogeny of HPV5 variants associated with epidermodysplasia verruciformis,27-SEP-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
52,X74646,Human Papillomavirus (5a3) E2 gene (5'),300,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Genetic heterogeneity of oncogenic human papillomavirus type 5 (HPV5) and phylogeny of HPV5 variants associated with epidermodysplasia verruciformis,27-SEP-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
53,X74644,Human Papillomavirus (5a2) E2 gene (5'),300,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Genetic heterogeneity of oncogenic human papillomavirus type 5 (HPV5) and phylogeny of HPV5 variants associated with epidermodysplasia verruciformis,27-SEP-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
54,X74651,Human Papillomavirus (5a5) E2 gene (3'),300,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Genetic heterogeneity of oncogenic human papillomavirus type 5 (HPV5) and phylogeny of HPV5 variants associated with epidermodysplasia verruciformis,27-SEP-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
55,X74645,Human Papillomavirus (5a2) E2 gene (3'),300,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Genetic heterogeneity of oncogenic human papillomavirus type 5 (HPV5) and phylogeny of HPV5 variants associated with epidermodysplasia verruciformis,27-SEP-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
56,X74650,Human Papillomavirus (5a5) E2 gene (5'),300,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Genetic heterogeneity of oncogenic human papillomavirus type 5 (HPV5) and phylogeny of HPV5 variants associated with epidermodysplasia verruciformis,27-SEP-1993,Human papillomavirus 5,genomic DNA,,,,taxon:333923,,
57,AJ245520,"human papillomavirus type 5 partial l1 gene, strain SSc5-1",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Antibodies to human papillomavirus type 5 are generated in epidermal repair processes,12-DEC-1999,Human papillomavirus 5,genomic DNA,SSc5-1,,,taxon:333923,,
58,AJ245519,"human papillomavirus type 5 partial l1 gene, strain Pf5-2",419,Human papillomavirus 5,Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Betapapillomavirus; Betapapillomavirus 1,Antibodies to human papillomavirus type 5 are generated in epidermal repair processes,12-DEC-1999,Human papillomavirus 5,genomic DNA,Pf5-2,,,taxon:333923,,
