PQ037257,"Pigeon coronavirus isolate PG/FS/2024, complete genome",Pigeon coronavirus,27538,Pigeon coronavirus,2024,PG/FS/2024
PP840347,"Infectious bronchitis virus isolate 1783_IBV, complete genome",Infectious bronchitis virus,27471,Infectious bronchitis virus,07-Jan-2023,1783_IBV
PP840346,"Infectious bronchitis virus isolate 1543_IBV, complete genome",Infectious bronchitis virus,27492,Infectious bronchitis virus,01-Feb-2023,1543_IBV
PP840345,"Infectious bronchitis virus isolate 1502_IBV, complete genome",Infectious bronchitis virus,27085,Infectious bronchitis virus,Unknown,1502_IBV
PP840344,"Infectious bronchitis virus isolate A5_IBV, complete genome",Infectious bronchitis virus,27481,Infectious bronchitis virus,01-May-2023,A5_IBV
PQ846960,"Porcine epidemic diarrhea virus isolate GZ/2024, complete genome",Porcine epidemic diarrhea virus,28035,Porcine epidemic diarrhea virus (PEDV),08-Feb-2024,GZ/2024
PQ577608,"Alphacoronavirus sp. isolate 201332, complete genome",Alphacoronavirus sp.,28758,Alphacoronavirus sp.,14-Jun-2020,201332
PQ577607,"Alphacoronavirus sp. isolate 201339, complete genome",Alphacoronavirus sp.,28695,Alphacoronavirus sp.,14-Jun-2020,201339
PQ577599,"Alphacoronavirus sp. isolate HD13329, complete genome",Alphacoronavirus sp.,28390,Alphacoronavirus sp.,20-May-2013,HD13329
PQ577598,"Alphacoronavirus sp. isolate HD13336, complete genome",Alphacoronavirus sp.,28421,Alphacoronavirus sp.,20-May-2013,HD13336
PQ577596,"Alphacoronavirus sp. isolate HD13359, complete genome",Alphacoronavirus sp.,28426,Alphacoronavirus sp.,20-May-2013,HD13359
PQ577595,"Alphacoronavirus sp. isolate HD13602, complete genome",Alphacoronavirus sp.,28686,Alphacoronavirus sp.,19-Jun-2013,HD13602
PQ577592,"Alphacoronavirus sp. isolate LH12181, complete genome",Alphacoronavirus sp.,28420,Alphacoronavirus sp.,31-Jul-2012,LH12181
PQ577609,"Alphacoronavirus sp. isolate 200604, complete genome",Alphacoronavirus sp.,27152,Alphacoronavirus sp.,24-May-2020,200604
PQ577606,"Alphacoronavirus sp. isolate B51, complete genome",Alphacoronavirus sp.,27143,Alphacoronavirus sp.,29-Apr-2020,B51
PQ577605,"Alphacoronavirus sp. isolate B61, complete genome",Alphacoronavirus sp.,27144,Alphacoronavirus sp.,29-Apr-2020,B61
PQ577604,"Alphacoronavirus sp. isolate B63, complete genome",Alphacoronavirus sp.,26959,Alphacoronavirus sp.,29-Apr-2020,B63
PQ577603,"Alphacoronavirus sp. isolate B81, complete genome",Alphacoronavirus sp.,27743,Alphacoronavirus sp.,29-Apr-2020,B81
PQ577602,"Alphacoronavirus sp. isolate CH203, complete genome",Alphacoronavirus sp.,27170,Alphacoronavirus sp.,20-Mar-2021,CH203
PQ577601,"Alphacoronavirus sp. isolate HD13308, complete genome",Alphacoronavirus sp.,27910,Alphacoronavirus sp.,20-May-2013,HD13308
PQ577600,"Alphacoronavirus sp. isolate HD13313, complete genome",Alphacoronavirus sp.,28031,Alphacoronavirus sp.,20-May-2013,HD13313
PQ577597,"Alphacoronavirus sp. isolate HD13339, complete genome",Alphacoronavirus sp.,28823,Alphacoronavirus sp.,20-May-2013,HD13339
PQ577594,"Alphacoronavirus sp. isolate HD13625, complete genome",Alphacoronavirus sp.,28156,Alphacoronavirus sp.,19-Jun-2013,HD13625
PQ577593,"Alphacoronavirus sp. isolate LH12177, complete genome",Alphacoronavirus sp.,28429,Alphacoronavirus sp.,31-Jul-2012,LH12177
PQ577591,"Alphacoronavirus sp. isolate XL26, complete genome",Alphacoronavirus sp.,28811,Alphacoronavirus sp.,06-Jul-2008,XL26
PQ577590,"Betacoronavirus sp. isolate 201924, complete genome",Betacoronavirus sp.,29470,Betacoronavirus sp.,11-Aug-2020,201924
PQ577589,"Betacoronavirus sp. isolate B50, complete genome",Betacoronavirus sp.,29702,Betacoronavirus sp.,29-Apr-2020,B50
PQ577588,"Betacoronavirus sp. isolate B64, complete genome",Betacoronavirus sp.,29734,Betacoronavirus sp.,29-Apr-2020,B64
PQ577587,"Betacoronavirus sp. isolate B68, complete genome",Betacoronavirus sp.,29688,Betacoronavirus sp.,29-Apr-2020,B68
PQ577586,"Betacoronavirus sp. isolate B78, complete genome",Betacoronavirus sp.,29690,Betacoronavirus sp.,29-Apr-2020,B78
PQ577585,"Betacoronavirus sp. isolate B86, complete genome",Betacoronavirus sp.,29665,Betacoronavirus sp.,29-Apr-2020,B86
PQ577584,"Betacoronavirus sp. isolate B87, complete genome",Betacoronavirus sp.,29712,Betacoronavirus sp.,29-Apr-2020,B87
PQ577583,"Betacoronavirus sp. isolate CH007, complete genome",Betacoronavirus sp.,29620,Betacoronavirus sp.,17-Sep-2020,CH007
PQ577582,"Betacoronavirus sp. isolate CH053, complete genome",Betacoronavirus sp.,29654,Betacoronavirus sp.,17-Sep-2020,CH053
PQ577581,"Betacoronavirus sp. isolate CH063, complete genome",Betacoronavirus sp.,29697,Betacoronavirus sp.,17-Sep-2020,CH063
PQ577580,"Betacoronavirus sp. isolate CH215, complete genome",Betacoronavirus sp.,29701,Betacoronavirus sp.,20-Mar-2021,CH215
PQ577579,"Betacoronavirus sp. isolate CH231, complete genome",Betacoronavirus sp.,29670,Betacoronavirus sp.,20-Mar-2021,CH231
PQ577578,"Betacoronavirus sp. isolate HD13589, complete genome",Betacoronavirus sp.,29683,Betacoronavirus sp.,19-Jun-2013,HD13589
PP668237,"UNVERIFIED: Porcine epidemic diarrhea virus isolate XJ2022-L3 P180, complete genome",Porcine epidemic diarrhea virus,28054,Porcine epidemic diarrhea virus (PEDV),2021,XJ2022-L3 P180
PP668236,"UNVERIFIED: Porcine epidemic diarrhea virus isolate XJ2022-L3 P160, complete genome",Porcine epidemic diarrhea virus,28054,Porcine epidemic diarrhea virus (PEDV),2021,XJ2022-L3 P160
PP668235,"UNVERIFIED: Porcine epidemic diarrhea virus isolate XJ2022-L3 P140, complete genome",Porcine epidemic diarrhea virus,28047,Porcine epidemic diarrhea virus (PEDV),2021,XJ2022-L3 P140
PP668234,"UNVERIFIED: Porcine epidemic diarrhea virus isolate XJ2022-L3 P120, complete genome",Porcine epidemic diarrhea virus,28047,Porcine epidemic diarrhea virus (PEDV),2021,XJ2022-L3 P120
PP668233,"UNVERIFIED: Porcine epidemic diarrhea virus isolate XJ2022-L3 P100, complete genome",Porcine epidemic diarrhea virus,28059,Porcine epidemic diarrhea virus (PEDV),2021,XJ2022-L3 P100
PP668232,"UNVERIFIED: Porcine epidemic diarrhea virus isolate XJ2022-L3 P80, complete genome",Porcine epidemic diarrhea virus,28059,Porcine epidemic diarrhea virus (PEDV),2021,XJ2022-L3 P80
PP668231,"UNVERIFIED: Porcine epidemic diarrhea virus isolate XJ2022-L3 P50, complete genome",Porcine epidemic diarrhea virus,28059,Porcine epidemic diarrhea virus (PEDV),2021,XJ2022-L3 P50
PP668230,"UNVERIFIED: Porcine epidemic diarrhea virus isolate XJ2022-L3 P10, complete genome",Porcine epidemic diarrhea virus,28059,Porcine epidemic diarrhea virus (PEDV),2021,XJ2022-L3 P10
PP668229,"UNVERIFIED: Porcine epidemic diarrhea virus isolate XJ2022-L3 P7, complete genome",Porcine epidemic diarrhea virus,28059,Porcine epidemic diarrhea virus (PEDV),2021,XJ2022-L3 P7
OQ349228,"Porcine epidemic diarrhea virus isolate CN/Jiangsu002/2022, complete genome",Porcine epidemic diarrhea virus,28038,Porcine epidemic diarrhea virus (PEDV),Apr-2022,CN/Jiangsu002/2022
MW413556,"Porcine epidemic diarrhea virus strain HB/HEBEU/2020, complete genome",Porcine epidemic diarrhea virus,28041,Porcine epidemic diarrhea virus (PEDV),Dec-2020,Unknown
PQ753145,"Porcine deltacoronavirus isolate PDCoV/HuN/2023, complete genome",Porcine deltacoronavirus,25395,Porcine deltacoronavirus,Nov-2023,PDCoV/HuN/2023
PQ684415,"Orthocoronavirinae sp. isolate Jinggu-20, complete genome",Orthocoronavirinae sp.,28587,Orthocoronavirinae sp.,2023,Jinggu-20
PQ684414,"Alphacoronavirus sp. isolate Lianghe-22, complete genome",Alphacoronavirus sp.,28697,Alphacoronavirus sp.,2022,Lianghe-22
PQ725952,"Canine respiratory coronavirus isolate CRCoV_CD5, complete genome",Canine respiratory coronavirus,30856,Canine respiratory coronavirus,2024,CRCoV_CD5
PQ725951,"Canine respiratory coronavirus isolate CRCoV_CD4, complete genome",Canine respiratory coronavirus,30855,Canine respiratory coronavirus,2024,CRCoV_CD4
PQ725950,"Canine respiratory coronavirus isolate CRCoV_CD3, complete genome",Canine respiratory coronavirus,30852,Canine respiratory coronavirus,2024,CRCoV_CD3
PQ725949,"Canine respiratory coronavirus isolate CRCoV_CD2, complete genome",Canine respiratory coronavirus,30854,Canine respiratory coronavirus,2024,CRCoV_CD2
PQ725948,"Canine respiratory coronavirus isolate CRCoV_CD1, complete genome",Canine respiratory coronavirus,30893,Canine respiratory coronavirus,2024,CRCoV_CD1
PP100176,"Infectious bronchitis virus strain QXL87, complete genome",Infectious bronchitis virus,27695,Infectious bronchitis virus,2013,Unknown
PP100175,"Infectious bronchitis virus strain Ck/CH/JS/2010/12, complete genome",Infectious bronchitis virus,27694,Infectious bronchitis virus,2010,Unknown
PQ645844,"Porcine deltacoronavirus isolate HZYH-2019, complete genome",Porcine deltacoronavirus,25414,Porcine deltacoronavirus,2019,HZYH-2019
PQ649435,"Bat alphacoronavirus Kudep isolate BtCoV/Rf/Russia/F3/2020, complete genome",Bat alphacoronavirus Kudep,28142,Bat alphacoronavirus Kudep,2020,BtCoV/Rf/Russia/F3/2020
PP444723,"Embecovirus sp. isolate Lianghe-5, complete genome",Embecovirus sp.,30967,Embecovirus sp.,2022,Lianghe-5
PP871397,"Infectious bronchitis virus isolate MR23/6, complete genome",Infectious bronchitis virus,27526,Infectious bronchitis virus,21-Aug-2023,MR23/6
PQ584608,"Quail deltacoronavirus isolate DCov628/15, complete genome",Quail deltacoronavirus,25886,Quail deltacoronavirus,2015,DCov628/15
PQ584607,"Quail deltacoronavirus isolate DCov70/18, complete genome",Quail deltacoronavirus,25861,Quail deltacoronavirus,2018,DCov70/18
PQ584606,"Quail deltacoronavirus isolate DCov56/18, complete genome",Quail deltacoronavirus,25834,Quail deltacoronavirus,2018,DCov56/18
PQ588962,"Bovine coronavirus isolate SX8, complete genome",Bovine coronavirus,31009,Bovine coronavirus,Mar-2024,SX8
PQ488813,"Mutant Murine hepatitis virus clone recombinant WT MHV-A59, complete genome",Murine hepatitis virus,31290,Murine hepatitis virus,Unknown,Unknown
PQ373831,"Porcine deltacoronavirus isolate CHN/SX-Y/2023, complete genome",Porcine deltacoronavirus,25415,Porcine deltacoronavirus,2023,CHN/SX-Y/2023
PQ539659,"Porcine deltacoronavirus isolate CC23, complete genome",Porcine deltacoronavirus,25403,Porcine deltacoronavirus,2023,CC23
PQ538789,"Middle East respiratory syndrome-related coronavirus isolate 38655, complete genome",Middle East respiratory syndrome-related coronavirus,29947,Middle East respiratory syndrome-related coronavirus (MERS-CoV),2021,38655
PQ538788,"Middle East respiratory syndrome-related coronavirus isolate 38674, complete genome",Middle East respiratory syndrome-related coronavirus,29938,Middle East respiratory syndrome-related coronavirus (MERS-CoV),2021,38674
PQ538787,"Middle East respiratory syndrome-related coronavirus isolate 38585, complete genome",Middle East respiratory syndrome-related coronavirus,29869,Middle East respiratory syndrome-related coronavirus (MERS-CoV),2021,38585
PQ351810,"MAG: Deltacoronavirus sp. isolate DeltaCoV/AvCoV/Larus_dominicanus/Antartica/Fiocruz-F1596/2023, complete genome",Deltacoronavirus sp.,26093,Deltacoronavirus sp. (bird metagenome),02-Feb-2023,DeltaCoV/AvCoV/Larus_dominicanus/Antartica/Fiocruz-F1596/2023
PQ451290,"Mink coronavirus isolate MCoV/46367-5_Case/DK/2019, complete genome",Mink coronavirus,28917,Mink coronavirus,Jul-2019,MCoV/46367-5_Case/DK/2019
PQ451289,"Mink coronavirus isolate MCoV/46367-3_Case/DK/2019, complete genome",Mink coronavirus,28865,Mink coronavirus,Jul-2019,MCoV/46367-3_Case/DK/2019
PQ451288,"Mink coronavirus isolate MCoV/46351-5_Case/DK/2019, complete genome",Mink coronavirus,28751,Mink coronavirus,Aug-2019,MCoV/46351-5_Case/DK/2019
PQ451287,"Mink coronavirus isolate MCoV/46351-4_Case/DK/2019, complete genome",Mink coronavirus,28839,Mink coronavirus,Aug-2019,MCoV/46351-4_Case/DK/2019
PQ451286,"Mink coronavirus isolate MCoV/46351-3_Case/DK/2019, complete genome",Mink coronavirus,28846,Mink coronavirus,Aug-2019,MCoV/46351-3_Case/DK/2019
PQ451285,"Mink coronavirus isolate MCoV/46351-1_Case/DK/2019, complete genome",Mink coronavirus,28845,Mink coronavirus,Aug-2019,MCoV/46351-1_Case/DK/2019
PQ451284,"Mink coronavirus isolate MCoV/45511-40_Case/DK/2018, complete genome",Mink coronavirus,28865,Mink coronavirus,Jul-2018,MCoV/45511-40_Case/DK/2018
PQ451283,"Mink coronavirus isolate MCoV/45511-32_Case/DK/2018, complete genome",Mink coronavirus,28652,Mink coronavirus,Jul-2018,MCoV/45511-32_Case/DK/2018
PQ451282,"Mink coronavirus isolate MCoV/45511-29_Case/DK/2018, complete genome",Mink coronavirus,28804,Mink coronavirus,Jul-2018,MCoV/45511-29_Case/DK/2018
PQ451280,"Mink coronavirus isolate MCoV/45511-27_Case/DK/2018, complete genome",Mink coronavirus,28770,Mink coronavirus,Jul-2018,MCoV/45511-27_Case/DK/2018
PQ451279,"Mink coronavirus isolate MCoV/45511-26_Case/DK/2018, complete genome",Mink coronavirus,28770,Mink coronavirus,Jul-2018,MCoV/45511-26_Case/DK/2018
PQ451278,"Mink coronavirus isolate MCoV/45511-25_Case/DK/2018, complete genome",Mink coronavirus,28770,Mink coronavirus,Jul-2018,MCoV/45511-25_Case/DK/2018
PQ451277,"Mink coronavirus isolate MCoV/45511-22_Case/DK/2018, complete genome",Mink coronavirus,28814,Mink coronavirus,Jul-2018,MCoV/45511-22_Case/DK/2018
PQ451274,"Mink coronavirus isolate MCoV/45510-5_Con/DK/2018, complete genome",Mink coronavirus,28648,Mink coronavirus,Jul-2018,MCoV/45510-5_Con/DK/2018
OR233295,"Horseshoe bat sarbecovirus isolate Rt17DN420, complete genome",Horseshoe bat sarbecovirus,29602,Horseshoe bat sarbecovirus,04-Jun-2017,Rt17DN420
OR233328,"Horseshoe bat sarbecovirus isolate Ra22QT137, complete genome",Horseshoe bat sarbecovirus,29751,Horseshoe bat sarbecovirus,04-Nov-2022,Ra22QT137
OR233325,"Horseshoe bat sarbecovirus isolate Ra22DB163, complete genome",Horseshoe bat sarbecovirus,29747,Horseshoe bat sarbecovirus,26-Jun-2022,Ra22DB163
OR233324,"Horseshoe bat sarbecovirus isolate Ra22QT77, complete genome",Horseshoe bat sarbecovirus,29751,Horseshoe bat sarbecovirus,03-Nov-2022,Ra22QT77
OR233323,"Horseshoe bat sarbecovirus isolate Ra22QT135, complete genome",Horseshoe bat sarbecovirus,29751,Horseshoe bat sarbecovirus,04-Nov-2022,Ra22QT135
OR233322,"Horseshoe bat sarbecovirus isolate Ra22QT106, complete genome",Horseshoe bat sarbecovirus,29751,Horseshoe bat sarbecovirus,03-Nov-2022,Ra22QT106
OR233321,"Horseshoe bat sarbecovirus isolate Rt22QT53, complete genome",Horseshoe bat sarbecovirus,29671,Horseshoe bat sarbecovirus,02-Nov-2022,Rt22QT53
OR233320,"Horseshoe bat sarbecovirus isolate Rt22QT48, complete genome",Horseshoe bat sarbecovirus,29671,Horseshoe bat sarbecovirus,02-Nov-2022,Rt22QT48
OR233319,"Horseshoe bat sarbecovirus isolate Rt22QT46, complete genome",Horseshoe bat sarbecovirus,29671,Horseshoe bat sarbecovirus,02-Nov-2022,Rt22QT46
OR233318,"Horseshoe bat sarbecovirus isolate Rt22QT36, complete genome",Horseshoe bat sarbecovirus,29671,Horseshoe bat sarbecovirus,01-Nov-2022,Rt22QT36
OR233317,"Horseshoe bat sarbecovirus isolate Rt22QT178, complete genome",Horseshoe bat sarbecovirus,29671,Horseshoe bat sarbecovirus,05-Nov-2022,Rt22QT178
OR233316,"Horseshoe bat sarbecovirus isolate Rt22QT161, complete genome",Horseshoe bat sarbecovirus,29671,Horseshoe bat sarbecovirus,05-Nov-2022,Rt22QT161
OR233314,"Horseshoe bat sarbecovirus isolate Rt22SL92, complete genome",Horseshoe bat sarbecovirus,29693,Horseshoe bat sarbecovirus,03-Jul-2022,Rt22SL92
OR233313,"Horseshoe bat sarbecovirus isolate Rt22SL85, complete genome",Horseshoe bat sarbecovirus,29693,Horseshoe bat sarbecovirus,03-Jul-2022,Rt22SL85
OR233312,"Horseshoe bat sarbecovirus isolate Rt22SL58, complete genome",Horseshoe bat sarbecovirus,29693,Horseshoe bat sarbecovirus,03-Jul-2022,Rt22SL58
OR233311,"Horseshoe bat sarbecovirus isolate Rt22SL130, complete genome",Horseshoe bat sarbecovirus,29693,Horseshoe bat sarbecovirus,04-Jul-2022,Rt22SL130
OR233310,"Horseshoe bat sarbecovirus isolate Rt22DB38, complete genome",Horseshoe bat sarbecovirus,29682,Horseshoe bat sarbecovirus,18-Jun-2022,Rt22DB38
OR233308,"Horseshoe bat sarbecovirus isolate Rt21LC39, complete genome",Horseshoe bat sarbecovirus,29682,Horseshoe bat sarbecovirus,12-Nov-2021,Rt21LC39
OR233305,"Horseshoe bat sarbecovirus isolate Rt321LC192, complete genome",Horseshoe bat sarbecovirus,29613,Horseshoe bat sarbecovirus,14-Nov-2021,Rt321LC192
OR233304,"Horseshoe bat sarbecovirus isolate Ra22DB191, complete genome",Horseshoe bat sarbecovirus,29703,Horseshoe bat sarbecovirus,28-Jun-2022,Ra22DB191
OR233303,"Horseshoe bat sarbecovirus isolate Rt22SL9, complete genome",Horseshoe bat sarbecovirus,29699,Horseshoe bat sarbecovirus,01-Jul-2022,Rt22SL9
OR233302,"Horseshoe bat sarbecovirus isolate Rp22DB159, complete genome",Horseshoe bat sarbecovirus,29823,Horseshoe bat sarbecovirus,26-Jun-2022,Rp22DB159
OR233301,"Horseshoe bat sarbecovirus isolate Rt22SL115, complete genome",Horseshoe bat sarbecovirus,29693,Horseshoe bat sarbecovirus,03-Jul-2022,Rt22SL115
OR233300,"Horseshoe bat sarbecovirus isolate Rt22QT124, complete genome",Horseshoe bat sarbecovirus,29671,Horseshoe bat sarbecovirus,04-Nov-2022,Rt22QT124
OR233299,"Horseshoe bat sarbecovirus isolate Rt22QB8, complete genome",Horseshoe bat sarbecovirus,29668,Horseshoe bat sarbecovirus,07-Nov-2022,Rt22QB8
OR233298,"Horseshoe bat sarbecovirus isolate Rt22QB78, complete genome",Horseshoe bat sarbecovirus,29668,Horseshoe bat sarbecovirus,10-Nov-2022,Rt22QB78
OR233297,"Horseshoe bat sarbecovirus isolate Rt21LC92, complete genome",Horseshoe bat sarbecovirus,29729,Horseshoe bat sarbecovirus,12-Nov-2021,Rt21LC92
OR233296,"Horseshoe bat sarbecovirus isolate Rt22LC378, complete genome",Horseshoe bat sarbecovirus,29688,Horseshoe bat sarbecovirus,06-Mar-2022,Rt22LC378
OR233294,"Horseshoe bat sarbecovirus isolate Rt22DB31, complete genome",Horseshoe bat sarbecovirus,29682,Horseshoe bat sarbecovirus,18-Jun-2022,Rt22DB31
OR233293,"Horseshoe bat sarbecovirus isolate Rt22CB395, complete genome",Horseshoe bat sarbecovirus,29688,Horseshoe bat sarbecovirus,28-Feb-2022,Rt22CB395
OR233292,"Horseshoe bat sarbecovirus isolate Ra22DB107, complete genome",Horseshoe bat sarbecovirus,29703,Horseshoe bat sarbecovirus,24-Jun-2022,Ra22DB107
OR233291,"Horseshoe bat sarbecovirus isolate Ra21CB8, complete genome",Horseshoe bat sarbecovirus,29717,Horseshoe bat sarbecovirus,10-Dec-2021,Ra21CB8
PQ316092,"Porcine epidemic diarrhea virus isolate CH/ShXXY2-2023, complete genome",Porcine epidemic diarrhea virus,28025,Porcine epidemic diarrhea virus (PEDV),2023-01-04,CH/ShXXY2-2023
PQ316091,"Porcine epidemic diarrhea virus isolate CH/HBJL2023, complete genome",Porcine epidemic diarrhea virus,28028,Porcine epidemic diarrhea virus (PEDV),2023-01-25,CH/HBJL2023
PQ316090,"Porcine epidemic diarrhea virus isolate CH/GDJM2023, complete genome",Porcine epidemic diarrhea virus,28033,Porcine epidemic diarrhea virus (PEDV),2023-01-07,CH/GDJM2023
PQ316089,"Porcine epidemic diarrhea virus isolate CH/JSHA2024, complete genome",Porcine epidemic diarrhea virus,27995,Porcine epidemic diarrhea virus (PEDV),2024-01-02,CH/JSHA2024
PQ316088,"Porcine epidemic diarrhea virus isolate CH/HNDZ/2022, complete genome",Porcine epidemic diarrhea virus,28028,Porcine epidemic diarrhea virus (PEDV),2022-12-08,CH/HNDZ/2022
PQ231054,"Infectious bronchitis virus isolate I0317/22, complete genome",Infectious bronchitis virus,27679,Infectious bronchitis virus,2022,Unknown
PQ313104,"Bovine coronavirus isolate NXWZ2310, complete genome",Bovine coronavirus,31001,Bovine coronavirus,08-Oct-2023,NXWZ2310
PQ273741,"Infectious bronchitis virus isolate CK/CH/JS/YZ210939, complete genome",Infectious bronchitis virus,27705,Infectious bronchitis virus,01-Sep-2021,CK/CH/JS/YZ210939
PQ273740,"Infectious bronchitis virus isolate CK/CH/JS/CZ210673, complete genome",Infectious bronchitis virus,27705,Infectious bronchitis virus,01-Jun-2021,CK/CH/JS/CZ210673
PQ273739,"Infectious bronchitis virus isolate CK/CH/JS/CZ210443, complete genome",Infectious bronchitis virus,27690,Infectious bronchitis virus,01-Apr-2021,CK/CH/JS/CZ210443
PP999774,"Porcine epidemic diarrhea virus isolate LZ202401, complete genome",Porcine epidemic diarrhea virus,28038,Porcine epidemic diarrhea virus (PEDV),Jan-2024,LZ202401
PQ241464,"Porcine hemagglutinating encephalomyelitis virus isolate PHEV/USA/IL/19661/2021, complete genome",Porcine hemagglutinating encephalomyelitis virus,30540,Porcine hemagglutinating encephalomyelitis virus,05-Mar-2021,PHEV/USA/IL/19661/2021
PQ187639,"Human coronavirus OC43 isolate HCoV-OC43/2254M/Tanzania/2018, complete genome",Human coronavirus OC43,30715,Human coronavirus OC43 (HCoV-OC43),14-Oct-2018,HCoV-OC43/2254M/Tanzania/2018
PQ187638,"Human coronavirus OC43 isolate HCoV-OC43/2138M/Tanzania/2016, complete genome",Human coronavirus OC43,30714,Human coronavirus OC43 (HCoV-OC43),04-Dec-2016,HCoV-OC43/2138M/Tanzania/2016
PQ187637,"Human coronavirus OC43 isolate HCoV-OC43/351M/Tanzania/2018, complete genome",Human coronavirus OC43,30751,Human coronavirus OC43 (HCoV-OC43),29-May-2018,HCoV-OC43/351M/Tanzania/2018
PQ187636,"Human coronavirus OC43 isolate HCoV-OC43/2652/Singapore/2011, complete genome",Human coronavirus OC43,30712,Human coronavirus OC43 (HCoV-OC43),13-Dec-2011,HCoV-OC43/2652/Singapore/2011
PQ187635,"Human coronavirus OC43 isolate HCoV-OC43/2519/Singapore/2011, complete genome",Human coronavirus OC43,30707,Human coronavirus OC43 (HCoV-OC43),21-Sep-2011,HCoV-OC43/2519/Singapore/2011
PQ187634,"Human coronavirus OC43 isolate HCoV-OC43/2444/Singapore/2011, complete genome",Human coronavirus OC43,30706,Human coronavirus OC43 (HCoV-OC43),16-Aug-2011,HCoV-OC43/2444/Singapore/2011
PQ187633,"Human coronavirus OC43 isolate HCoV-OC43/2424/Singapore/2011, complete genome",Human coronavirus OC43,30741,Human coronavirus OC43 (HCoV-OC43),11-Jan-2011,HCoV-OC43/2424/Singapore/2011
